ModelReleaseYear,Make,ModelReleaseVersion,Model,Variant,EngineDisplacement,EngineConfiguration,EngineInduction,FwdGearsNo,TransmissionTypeDescription,SideDoorNo,SeatingCapacity,BodyStyle,DrivingWheelsNo,FuelType,CO2EmissionsCombined,CO2EmissionsUrban,CO2EmissionsExtraUrban,FuelConsumptionCombined,FuelConsumptionUrban,FuelConsumptionExtraUrban,EnergyConsumptionWhkm,ElectricRangeKm,AirPollutionStandard,StationaryNoiseData,TestSpeed,IsCurrentModel,ModelEndYear,FuelLifeCycleCO2,AnnualTailpipeCO2,Test Cycle,AnnualFuelCost
2023,BMW,G09,XM,Label,4.4,8cyl,Turbo,8,Auto,4,4,Wagon,4,Electric/Petrol 98RON,61,273,,2.7,12,,304,98,Euro 6,92,3750,Yes,0,288,0.85,,1987
2023,BMW,G09,XM,,4.4,8cyl,Turbo,8,Auto,4,5,Wagon,4,Electric/Petrol 98RON,61,273,,2.7,12,,304,98,Euro 6,92,3750,Yes,0,288,0.85,,1987
2012,Porsche,,Panamera,S Hybrid Low Emission Tyre,3,6cyl,Normal,8,Auto,4,4,Sedan,2,Electric/Petrol 98RON,160,173,153,6.8,7.4,6.6,,,Euro 5,73,3750,No,2013,197,2.24,,1790
2012,Porsche,,Panamera,S Hybrid,3,6cyl,Normal,8,Auto,4,4,Sedan,2,Electric/Petrol 98RON,167,178,158,7.1,7.6,6.8,,,Euro 5,73,3750,No,2013,206,2.34,,1869
2021,Volkswagen,MY22,Golf,R 235TSI,2,4cyl,Turbo,7,Auto,4,5,Wagon,4,Electric/Petrol 98RON,168,211,142,7.3,9.2,6.2,,,Euro 6,85,3750,No,2022,212,2.35,,1921
2019,Lotus,Type 111,Elise Cup 250,1111Ad,1.8,4cyl,Supercharged,6,Manual,2,2,Convertible,2,Electric/Petrol 98RON,175,236,139,7.7,10.4,6.1,,,Euro 6,91,3751,Yes,0,223,2.45,,2027
2022,BMW,7 Series,G70,740i,3,6cyl,Turbo,8,Auto,4,5,Sedan,2,Electric/Petrol 98RON,179,223,154,7.9,9.9,6.8,,,Euro 6,77,3750,Yes,0,229,2.51,,2079
2012,Porsche,E2,Cayenne,Hybrid,3,6cyl,Normal,8,Auto,4,5,Wagon,4,Electric/Petrol 98RON,193,203,184,8.2,8.7,7.9,,,Euro 5,74,3750,No,2014,238,2.7,,2158
2011,Porsche,E2,Cayenne,Hybrid,3,6cyl,Normal,8,Auto,4,5,Wagon,4,Electric/Petrol 98RON,193,203,184,8.2,8.7,7.9,,,Euro 4,74,3750,No,2011,238,2.7,,2158
2022,BMW,G07,X7,M60i xDrive,4.4,8cyl,Turbo,8,Auto,4,7,Wagon,4,Electric/Petrol 98RON,277,366,225,12.2,16.1,9.9,,,Euro 6,83,3750,Yes,0,354,3.88,,3211
2023,BMW,G07,Alpina,XB7,4.4,8cyl,Turbo,8,Auto,4,7,Wagon,4,Electric/Petrol 98RON,279,383,219,12.3,16.9,9.7,,,Euro 6,83,3750,Yes,0,357,3.91,,3237
2023,BMW,F95,X5 M,X5 M Competition,4.4,8cyl,Turbo,8,Auto,4,5,Wagon,4,Electric/Petrol 98RON,285,398,219,12.5,17.6,9.6,,,Euro 6,92,3750,Yes,0,363,3.99,,3290
2023,BMW,F96,X6 M,X6 M Competition,4.4,8cyl,Turbo,8,Auto,4,5,Sedan,4,Electric/Petrol 98RON,285,398,219,12.5,17.6,9.6,,,Euro 6,92,3750,Yes,0,363,3.99,,3290
2023,Cupra,MY24,Formentor,VZE 180 PHEV,1.4,4cyl,Turbo,6,Auto,4,5,SUV,2,Electric/Petrol 95RON,43,,,1.9,,,141,58,Euro 6,72,3750,Yes,0,152,0.6,,1071
2023,Cupra,MY23,Formentor,VZE 180 PHEV,1.4,4cyl,Turbo,6,Auto,4,5,SUV,2,Electric/Petrol 95RON,43,,,1.9,,,141,58,Euro 6,72,3750,No,2025,152,0.6,,1071
2024,Suzuki,,Swift,GL,1.2,3cyl,Normal,5,Manual,4,5,Hatch,2,Electric/Petrol 95RON,85,93,81,3.8,4.1,3.6,,,Euro 5,74,3750,Yes,0,110,1.19,,958
2009,Toyota,,Prius,,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,89,90,86,3.9,3.9,3.7,,,Euro 4,70,3900,No,2009,113,1.25,,983
2009,Toyota,,Prius,Hybrid,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,89,90,86,3.9,3.9,3.7,,,Euro 4,70,3900,No,2016,113,1.25,,983
2012,Toyota,,Prius C,Hybrid,1.5,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,90,86,88,3.9,3.7,3.8,,,Euro 4,77,2500,No,2015,113,1.26,,983
2024,Suzuki,,Swift,GL/GL+/GLX,1.2,3cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,90,98,85,4,4.3,3.8,,,Euro 5,73,3750,Yes,0,116,1.26,,1008
2024,Toyota,,CAMRY,,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,91,91,91,4,4,4,,,Euro 6,78,2500,Yes,0,116,1.27,,1008
2025,Alfa Romeo,,Junior,Ibrida,1.2,3cyl,Turbo,6,Auto,4,5,SUV,2,Electric/Petrol 95RON,92,76,102,4.1,3.4,4.5,,,Euro 6,73,3325,Yes,0,119,1.29,,1033
2014,Lexus,,CT200h,Hybrid,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,95,93,95,4.1,4,4.1,,,Euro 5,67,3900,No,2014,119,1.33,,1033
2014,Lexus,,CT200h,Hybrid,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,95,93,95,4.1,4,4.1,,,Euro 5,67,3900,No,2021,119,1.33,,1033
2011,Lexus,,CT200h,Hybrid,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,95,93,95,4.1,4,4.1,,,Euro 4,67,3900,No,2014,119,1.33,,1033
2016,Toyota,,Corolla,,1.8,4cyl,Normal,1,CVT,4,5,Hatch,2,Electric/Petrol 95RON,96,91,95,4.1,3.9,4.1,,,Euro 5,69,2500,No,2018,119,1.34,,1033
2022,Toyota,,Camry,Ascent,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,98,96,4.2,4.3,4.2,,,Euro 6,77,2500,Yes,0,122,1.34,,1058
2022,Toyota,,Camry,Ascent Sport,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,98,96,4.2,4.3,4.2,,,Euro 6,77,2500,Yes,0,122,1.34,,1058
2020,Toyota,,Camry,Ascent,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,98,96,4.2,4.3,4.2,,,Euro 6,77,2500,No,2022,122,1.34,,1058
2020,Toyota,,Camry,Ascent Sport,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,98,96,4.2,4.3,4.2,,,Euro 6,77,2500,No,2022,122,1.34,,1058
2017,Toyota,,Camry,Ascent,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,106,96,4.2,4.7,4.2,,,Euro 5,77,2500,No,2020,122,1.34,,1058
2017,Toyota,,Camry,Ascent Sport,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,96,106,96,4.2,4.7,4.2,,,Euro 5,77,2500,No,2020,122,1.34,,1058
2015,Toyota,,Prius v,Hybrid,1.8,4cyl,Normal,1,CVT,4,7,Wagon,2,Electric/Petrol 95RON,101,96,100,4.4,4.2,4.3,,,Euro 5,75,2500,Yes,0,128,1.41,,1109
2012,Toyota,,Prius v,Hybrid,1.8,4cyl,Normal,1,CVT,4,7,Wagon,2,Electric/Petrol 95RON,101,96,100,4.4,4.2,4.3,,,Euro 4,75,2500,No,2015,128,1.41,,1109
2026,Toyota,,RAV4,HEV 2WD,2.5,4cyl,Normal,1,CVT,4,5,Wagon,2,Electric/Petrol 95RON,102,96,107,4.5,4.2,4.7,,,Euro 5,67,2500,Yes,0,131,1.43,,1134
2022,Toyota,,Camry,SL,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,103,107,103,4.5,4.7,4.5,,,Euro 6,77,2500,Yes,0,131,1.44,,1134
2020,Toyota,,Camry,SL,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,103,107,103,4.5,4.7,4.5,,,Euro 6,77,2500,No,2022,131,1.44,,1134
2017,Toyota,,Camry,SL,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,103,117,101,4.5,5.2,4.4,,,Euro 5,77,2500,No,2020,131,1.44,,1134
2018,Lexus,,ES 300h,,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Electric/Petrol 95RON,104,115,103,4.6,5.1,4.5,,,Euro 5,79,2500,No,2019,133,1.46,,1159
2026,Toyota,,RAV4,HEV AWD,2.5,4cyl,Normal,1,CVT,4,5,Wagon,4,Electric/Petrol 95RON,105,99,110,4.6,4.4,4.8,,,Euro 5,70,2500,Yes,0,133,1.47,,1159
